Año_encuesta;Region;PIA;PIM;Certificacion;Compromiso_anual;Atencion_compromiso_mensual;Devengado;Girado;%_avance;Devengado en Millones;indice_real;consumo_hierro;
2017;HUANCAVELICA;1350147;2649323;2649130;2649129;2649129;2649129;2649016;100;2.649129;0.546789211;0.430679911;
2017;HUANUCO;711142;998385;899834;876119;876119;876119;876119;87.8;0.876119;0.447058237;0.288974837;
2017;ICA;596858;1569464;1446870;1446790;1446790;1442907;1442777;91.9;1.442907;0.405051407;0.264271626;
2017;JUNIN;4177701;5164724;5105765;4274923;4274923;4273457;4273107;82.7;4.273457;0.533492662;0.304519688;
2017;LA LIBERTAD;1063015;2009753;1615897;1544544;1544544;1542580;1542244;76.8;1.54258;0.417732821;0.322138427;
2017;LAMBAYEQUE;1638703;3204989;2886604;2521304;2521304;2497139;2497139;77.9;2.497139;0.376449791;0.216959184;
2017;LORETO;1635486;1526253;1398368;1398368;1398368;1398368;1398180;91.6;1.398368;0.615462534;0.26061859;
2017;MADRE DE DIOS;75738;487231;337275;302925;301755;301705;301705;61.9;0.301705;0.573088972;0.263413064;
2017;MOQUEGUA;129451;174613;161080;155008;155008;155008;155008;88.8;0.155008;0.372343996;0.386604851;
2017;PASCO;803057;1245296;1071209;1071209;1071209;1071209;1071209;86;1.071209;0.580257958;0.317267388;
2017;PIURA;380963;1544440;1476271;1172513;1172513;1172498;1172498;75.9;1.172498;0.422526453;0.382303417;
2017;PUNO;2888678;4120854;3913145;3913141;3913141;3913141;3913141;95;3.913141;0.758583616;0.28739372;
2017;SAN MARTIN;951459;2055551;1835453;1726816;1726816;1726816;1726816;84;1.726816;0.506854195;0.287462809;
2017;TACNA;6940;587234;501201;392399;392399;392399;392399;66.8;0.392399;0.369618834;0.316819711;
2017;TUMBES;105572;327713;327373;327301;327301;327301;327301;99.9;0.327301;0.467950082;0.404880145;
2017;UCAYALI;264665;458300;458293;458293;458293;458293;458293;100;0.458293;0.591348274;0.239495763;
2017;LIMA;1991481;2691562;2653973;2610608;2602853;2602124;2601389;96.7;2.602124;0.439017161;0.358825374;
2017;CALLAO;407117;386802;379815;379815;379815;378898;378898;98;0.378898;0.323878788;0.229759378;
2018;AMAZONAS;5170191;7017352;6670072;6632731;6632731;6585439;6576937;93.8;6.585439;0.445131318;0.271544645;
2018;ANCASH;2536121;3574735;2840017;2839158;2839158;2803681;2803681;78.4;2.803681;0.457392939;0.400965197;
2018;APURIMAC;3413143;6085852;5273220;5215704;5210171;5208264;5207544;85.6;5.208264;0.532126948;0.445431712;
2018;AREQUIPA;1832333;1621602;1262701;1252401;1252401;1252151;1252151;77.2;1.252151;0.383868861;0.354047437;
2018;AYACUCHO;4079537;6870110;6605028;6305514;6300519;6300499;6300431;91.7;6.300499;0.493340907;0.397293411;
2018;CAJAMARCA;3782715;5349209;5271138;5035948;4970384;4966477;4959844;92.8;4.966477;0.319208072;0.349594475;
2018;CUSCO;4726255;8740856;8215027;6669584;6595659;6554326;6554326;75;6.554326;0.541899489;0.374333986;
2018;HUANCAVELICA;1966695;3485478;3128093;2958532;2957108;2952965;2952965;84.7;2.952965;0.557905436;0.441559114;
2018;HUANUCO;755303;1071695;991578;953184;951222;950542;950202;88.7;0.950542;0.438452994;0.377013277;
2018;ICA;563336;1950451;1701685;1701198;1699489;1699448;1698614;87.1;1.699448;0.430518029;0.249743903;
2018;JUNIN;4265919;6890702;5835020;5581294;5581294;5573553;5573243;80.9;5.573553;0.570491723;0.289411597;
2018;LA LIBERTAD;2989647;4514264;3617767;3569256;3565076;3564605;3564605;79;3.564605;0.378562042;0.295632789;
2018;LAMBAYEQUE;1839241;3223638;3027833;2920655;2920655;2920454;2920174;90.6;2.920454;0.409868343;0.268466519;
